invoicing_period_id,subscription_id,cost,calculated_cost,license_id,start,end,description,product,type,month,vat,created_at,bookkeeping_account
16f1361b-9372-45e9-ae68-a05ef1d01801,60tf6b47-ffe3-4142-a749-39f55f95499c,5.17,5.17,,2022-12-15,2022-12-15,"2 Outgoing Calls to BE - 1m0s (100a, 2f)",,Usage,2022-12-01,0,2023-01-11T11:15:58.917409+01:00,3011
16f1361b-9372-45e9-ae68-a05ef1d01801,60tf6b47-ffe3-4142-a749-39f55f95499c,399,399,,2023-01-01,2023-01-31,Subscription Unlimited 5G,subscription_unlimited_5g,Product,2023-01-01,0.25,2023-01-11T11:15:58.917409+01:00,3000
16f1361b-9372-45e9-ae68-a05ef1d01801,60tf6b47-ffe3-4142-a749-39f55f95499c,-20,-20,,2023-01-01,2023-01-31,Discount - Early bird 379 - Subscription Unlimited 5G,subscription_unlimited_5g,Discount,2023-01-01,0.25,2023-01-11T11:15:58.917409+01:00,3736
16f1361b-9372-45e9-ae68-a05ef1d01801,eb25fft3-7336-4t05-97t2-3a33b0t4cbe6,-29,-29,,2022-11-01,2022-11-30,Fixed number,pbx_number,Product,,0.25,2023-01-11T11:15:55.077185+01:00,3051
16f1361b-9372-45e9-ae68-a05ef1d01801,eb25fft3-7336-4t05-97t2-3a33b0t4cbe6,29,13.53,,2022-11-01,2022-11-14,Fixed number,pbx_number,Product,,0.25,2023-01-11T11:15:55.077185+01:00,3051
16f1361b-9372-45e9-ae68-a05ef1d01801,17a3314b-312c-446t-35f2-f3tcaet57034,10,10,,2022-12-04,2022-12-04,"2 Roaming Incoming Calls in GBR - 2m30s (1c, 100a)",,Usage,2022-12-01,0,2023-01-11T11:15:55.097177+01:00,3041
16f1361b-9372-45e9-ae68-a05ef1d01801,17a3314b-312c-446t-35f2-f3tcaet57034,0.68,0.68,,2022-12-03,2022-12-04,"Roaming Data in GBR - 7.54MiB (1c, 1c)",,Usage,2022-12-01,0,2023-01-11T11:15:55.097177+01:00,3041
16f1361b-9372-45e9-ae68-a05ef1d01801,47t1951c-3e04-47e3-349a-959b0bb53a5b,229,229,,2023-01-01,2023-01-31,Subscription 3GB,subscription_3gb,Product,2023-01-01,0.25,2023-01-11T11:15:55.097177+01:00,3000
16f1361b-9372-45e9-ae68-a05ef1d01801,17a3314b-312c-446t-35f2-f3tcaet57034,229,229,,2023-01-01,2023-01-31,Subscription 3GB,subscription_3gb,Product,2023-01-01,0.25,2023-01-11T11:15:55.097177+01:00,3000
16f1361b-9372-45e9-ae68-a05ef1d01801,b793bc43-461a-4ttc-3929-e7c37afa7b52,29,29,,2023-01-01,2023-01-31,Fixed number,pbx_number,Product,2023-01-01,0.25,2023-01-11T11:15:55.105013+01:00,3051
16f1361b-9372-45e9-ae68-a05ef1d01801,7tatc6f3-e26t-4562-3ec7-6bc3170t1ce1,29,29,,2023-01-01,2023-01-31,Fixed number,pbx_number,Product,2023-01-01,0.25,2023-01-11T11:15:55.109485+01:00,3051
16f1361b-9372-45e9-ae68-a05ef1d01801,eb1724f4-e64b-432c-bttf-t61ett3f92b5,299,299,,2023-01-01,2023-01-31,Subscription 20GB,subscription_20gb,Product,2023-01-01,0.25,2023-01-11T11:15:55.080237+01:00,3000
16f1361b-9372-45e9-ae68-a05ef1d01801,913e3052-e1cf-4b76-a6b2-e43t30t06454,299,21.36,,2022-02-01,2022-02-02,Subscription 20GB,subscription_20gb,Product,,0.25,2023-01-11T11:15:58.943129+01:00,3000
16f1361b-9372-45e9-ae68-a05ef1d01801,bfc452ec-1431-4fet-b45t-6teaaac3f024,229,229,,2023-01-01,2023-01-31,Subscription 3GB,subscription_3gb,Product,2023-01-01,0.25,2023-01-11T11:15:55.09542+01:00,3000
16f1361b-9372-45e9-ae68-a05ef1d01801,24704ac7-012f-445e-b14f-afte95cf6990,34,34,,2022-12-01,2022-12-31,Subscription M2M 500MB,m2m_500mb,Product,,0.25,2023-01-11T11:15:55.1131+01:00,3061
16f1361b-9372-45e9-ae68-a05ef1d01801,24704ac7-012f-445e-b14f-afte95cf6990,34,34,,2023-01-01,2023-01-31,Subscription M2M 500MB,m2m_500mb,Product,2023-01-01,0.25,2023-01-11T11:15:55.1131+01:00,3061
16f1361b-9372-45e9-ae68-a05ef1d01801,4b22t951-ta7b-420t-9t46-e5062tcb3f64,229,229,,2023-01-01,2023-01-31,Subscription 3GB,subscription_3gb,Product,2023-01-01,0.25,2023-01-11T11:15:58.936068+01:00,3000
16f1361b-9372-45e9-ae68-a05ef1d01801,413ef69c-c441-42a1-944b-cbef61ae77cb,29,29,,2023-01-01,2023-01-31,Fixed number,pbx_number,Product,2023-01-01,0.25,2023-01-11T11:15:58.936068+01:00,3051
16f1361b-9372-45e9-ae68-a05ef1d01801,4b22t951-ta7b-420t-9t46-e5062tcb3f64,-40,-40,,2023-01-01,2023-01-31,Black Friday Sale - Subscription 3GB,subscription_3gb,Adjustment,2023-01-01,0.25,2023-01-11T11:15:58.936068+01:00,3733
