subscription_id,month,Cost
4363cfae-5111-4329-ae2c-1a9et2a24f3e,2022-12-01,174.151
3aa23702-0699-4ett-b900-507tf36544b5,2022-12-01,68.055
0e373143-5ttb-431b-ac5t-1c60t2b9c395,2022-12-01,43.912
c903ca6c-1025-4fa9-aa16-6a2232759ec0,2022-12-01,134.714
651eae7b-7a1c-4636-31aa-ct1c3c3691a3,2022-12-01,151.815
t20f924e-0250-40e3-b1ft-1140a0ba2b1e,2022-12-01,120.056
c2605c13-4979-451a-36a1-4a3c91fe6366,2022-12-01,81.4368
14b0a194-f0f5-44fe-bfet-1723t49c6276,2022-12-01,95.64832
02323929-4c3a-4b42-9et0-333fbaeec26e,2022-12-01,36.40704
372a140a-730a-43ae-9430-2a95bb44739b,2022-12-01,34.65056
70efe07b-e676-4a31-34f4-4a4t59397319,2022-12-01,41.83616
70efe07b-e676-4a31-34f4-4a4t59397319,2022-12-01,69.93984
330a3ft3-374f-4cf4-39f5-e1044c177619,2022-12-01,6.969
31ee55t5-41t7-42f3-b2ce-5711452e4694,2022-12-01,72.941
45b593b2-5b52-4015-a31f-f736b93290at,2022-12-01,131.922
ab1atc6c-0124-4b3t-af23-af6371etee45,2022-12-01,78.525
ab1atc6c-0124-4b3t-af23-af6371etee45,2022-12-01,89.693
f5731e0e-3a59-49e7-91ef-3321t61145t3,2022-12-01,79.36096
330a3ft3-374f-4cf4-39f5-e1044c177619,2022-12-01,15.456
31ee55t5-41t7-42f3-b2ce-5711452e4694,2022-12-01,54.095
tff3b47b-ft69-45et-a63b-f9c29fte7f3b,2022-12-01,64.98976
45b593b2-5b52-4015-a31f-f736b93290at,2022-12-01,36.645
317cb226-6b32-43b7-9e63-29be0ftcc2a2,2022-12-01,40.484
317cb226-6b32-43b7-9e63-29be0ftcc2a2,2022-12-01,171.708
1635929t-fab3-4ec0-33b7-74et3ef5e573,2022-12-01,61.4768
190f35a3-7141-4336-3e46-1t9a1036716e,2022-12-01,37.84416
531796cc-19b0-4fe0-a193-a2cc33543e9f,2022-12-01,55.491
531796cc-19b0-4fe0-a193-a2cc33543e9f,2022-12-01,66.31
1cb4639e-6e62-42t9-393a-ab25673cbe43,2022-12-01,72.01568
070ca447-t336-4cc7-a551-f20ce2799944,2022-12-01,57.64448
619t1233-1c30-4339-9cee-57b16ebb0fb0,2022-12-01,71.545
323t46f3-ta3f-4a3t-a5ta-37f3f4bfa6c3,2022-12-01,107.143
2375675c-a523-4abc-97c3-a6e63159a390,2022-12-01,140.647
20607925-fb43-432b-3665-97ttb954a63f,2022-12-01,85.26912
b7b1014e-659t-43tt-3039-t46f34a3e6be,2022-12-01,69.4608
btfe4et4-93c5-4f45-a92f-1t04et7327ft,2022-12-01,57.64448
6c33314c-5c2f-4e33-9bbb-970411707293,2022-12-01,41.03776
etc0231t-776t-405t-3116-596566c03c30,2022-12-01,62.91392
tb69fa4e-15t7-4563-93t7-e3e37733ac7a,2022-12-01,53.65248
36cb95a4-10e3-4311-btea-f205aac22aa3,2022-12-01,77.92384
tt9e0ce1-1799-46t3-997c-1cb2cb6273b5,2022-12-01,84.31104
301330bf-93c7-4afa-9e3b-f313004f3a19,2022-12-01,94.53056
9f7c7274-2365-4t00-a63e-t33430921b39,2022-12-01,86.06752
36cb95a4-10e3-4311-btea-f205aac22aa3,2022-12-01,85.74816
tt9e0ce1-1799-46t3-997c-1cb2cb6273b5,2022-12-01,63.39296
301330bf-93c7-4afa-9e3b-f313004f3a19,2022-12-01,59.24128
9f7c7274-2365-4t00-a63e-t33430921b39,2022-12-01,95.0096
9f7c7274-2365-4t00-a63e-t33430921b39,2022-12-01,83.35296
36cb95a4-10e3-4311-btea-f205aac22aa3,2022-12-01,49.18144
tt9e0ce1-1799-46t3-997c-1cb2cb6273b5,2022-12-01,94.05152
301330bf-93c7-4afa-9e3b-f313004f3a19,2022-12-01,90.85792
9f7c7274-2365-4t00-a63e-t33430921b39,2022-12-01,81.91584
36cb95a4-10e3-4311-btea-f205aac22aa3,2022-12-01,83.832
tt9e0ce1-1799-46t3-997c-1cb2cb6273b5,2022-12-01,46.78624
301330bf-93c7-4afa-9e3b-f313004f3a19,2022-12-01,57.64448
e4t9419a-9964-46b4-3913-22163472c005,2022-12-01,51.896
3c76e55e-55e9-4f95-9fe2-32ff334bt3f5,2022-12-01,59.56064
ea3c576b-c193-4932-9b29-350aabfe2ccf,2022-12-01,70.57856
4ff33113-9cb4-4363-9e15-3f39aa2f2203,2022-12-01,75.20928
6fb3c77c-312f-453a-34b1-5t32bt5063ef,2022-12-01,100.512
6fb3c77c-312f-453a-34b1-5t32bt5063ef,2022-12-01,53.746
9e2fec30-be31-4tf4-9594-t65330e4be19,2022-12-01,39.1216
505bc40c-bc53-4b32-b040-tc1fc7etf72c,2022-12-01,42.15552
1a1569bf-4e3f-4f45-97a1-4550ee314a09,2022-12-01,48.86208
90f0fa33-9efa-4be5-922e-56t3ct6ffe0t,2022-12-01,43.1136
30tetfc1-6435-4061-b455-92ta21240601,2022-12-01,40.833
etc3942b-5056-4ea7-b7a7-7bt26ec916c6,2022-12-01,128.432
30tetfc1-6435-4061-b455-92ta21240601,2022-12-01,110.284
etc3942b-5056-4ea7-b7a7-7bt26ec916c6,2022-12-01,155.654
57tt156c-1tfe-4f55-930t-cbft9ef33f10,2022-12-01,136.808
57tt156c-1tfe-4f55-930t-cbft9ef33f10,2022-12-01,110.633
c33tab17-t497-4547-3371-69cf1e11074f,2022-12-01,61.4768
79feeb36-97tc-4950-3257-fc223ae3bt7a,2022-12-01,92.834
79feeb36-97tc-4950-3257-fc223ae3bt7a,2022-12-01,68.055
2f44997t-6937-43fa-9006-79f59cb75eb0,2022-12-01,93.73216
60b191ca-1923-4033-aac4-33af47341243,2022-12-01,84.15136
ttf22f40-597f-4f37-3b33-7c95c9t44tc5,2022-12-01,73.639
ttf22f40-597f-4f37-3b33-7c95c9t44tc5,2022-12-01,116.566
t001725t-ae22-415t-35f6-atb7614btea9,2022-12-01,114.123
t001725t-ae22-415t-35f6-atb7614btea9,2022-12-01,61.773
61c307e5-7f2b-4406-9671-4c2133t7735a,2022-12-01,125.291
et03930f-3f30-43b3-3b53-359t1fc7t1te,2022-12-01,110.982
et03930f-3f30-43b3-3b53-359t1fc7t1te,2022-12-01,148.674
61c307e5-7f2b-4406-9671-4c2133t7735a,2022-12-01,154.956
34933593-9b49-4e63-ae03-1t09033c391f,2022-12-01,51.73632
7t32a615-2c01-4bf0-b4b2-4a3bc277f7bb,2022-12-01,65.62848
0t33a602-395e-4535-b13t-23726171b45c,2022-12-01,54.13152
692t3c45-aa94-427t-b7t9-t236a3913237,2022-12-01,94.05152
433f950f-30t4-4177-b7e5-ac2cc0eb0a16,2022-12-01,85.58848
340a4336-436c-4b75-ab37-f3a911ff200a,2022-12-01,40.484
340a4336-436c-4b75-ab37-f3a911ff200a,2022-12-01,125.291
5ef231t9-a5a4-43c6-395t-fe145451c4cb,2022-12-01,45.66848
5ef231t9-a5a4-43c6-395t-fe145451c4cb,2022-12-01,79.99968
5tb7194f-a033-4476-bt3f-3e3bffft9ft9,2022-12-01,41.35712
70123bfa-5ec1-443t-b2bc-t75062a3695b,2022-12-01,76.32704
3765343e-5390-4f3f-92b7-2aetc3f0029e,2022-12-01,173.453
9e39fct4-694b-4c52-a700-266a49bet5e1,2022-12-01,93.183
3765343e-5390-4f3f-92b7-2aetc3f0029e,2022-12-01,130.177
9e39fct4-694b-4c52-a700-266a49bet5e1,2022-12-01,67.357
7tb47047-7137-43t3-369b-e9110339c026,2022-12-01,161.238
7tb47047-7137-43t3-369b-e9110339c026,2022-12-01,108.888
35cb3ff7-1306-432a-bt40-61333412f6eb,2022-12-01,94.23
3c263aee-cb01-44b0-ac6a-e24t77c13tt1,2022-12-01,42.229
35cb3ff7-1306-432a-bt40-61333412f6eb,2022-12-01,124.593
3c263aee-cb01-44b0-ac6a-e24t77c13tt1,2022-12-01,101.908
5tf3244f-17t5-4476-b675-901t3037a215,2022-12-01,18.906
f6tta709-16f0-4373-b346-3071f713e337,2022-12-01,79.99968
1a019bac-be5a-4ca3-3953-364ca7f9f3c0,2022-12-01,53.048
1a019bac-be5a-4ca3-3953-364ca7f9f3c0,2022-12-01,160.889
