subscription_id,cancelled_at,Contract,created_at,Customer,first_activate_at,Msisdn Activate At,changed_at,msisdn_last_activated_at,pending_status,msisdn_last_paused_at,current_esim,pending_plan,plan_activate_at,plan_active,status,Subscriber,type
t9042t33-456b-4e76-93fc-23732t31a304,,,2022-12-02,019a3931-2f30-4tbc-b423-cff73t5f4454,2023-02-20,2023-02-20,,,activate,,,PBX,2023-02-20,PBX,SUBSCRIPTION_STATUS_PENDING,,SUBSCRIPTION_TYPE_PBX
2f44997t-6937-43fa-9006-79f59cb75eb0,,,2022-12-01,6307c51c-33f4-4059-b103-175cc61t3c73,2022-12-01,,2022-12-01,2022-12-01,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
413ef69c-c441-42a1-944b-cbef61ae77cb,,,2022-12-01,12e5t4e3-3f97-41ba-3451-473224436fae,2022-12-16,2022-12-16,,,activate,,,PBX,2022-12-16,PBX,SUBSCRIPTION_STATUS_PENDING,,SUBSCRIPTION_TYPE_PBX
4b22t951-ta7b-420t-9t46-e5062tcb3f64,,,2022-12-01,12e5t4e3-3f97-41ba-3451-473224436fae,2022-12-06,2022-12-06,,,activate,,,CELL 1GB,2022-12-06,,SUBSCRIPTION_STATUS_PENDING,9f3bt602-3cf7-42ba-beta-tf953e714ea3,SUBSCRIPTION_TYPE_CELL
t410347a-772f-4a0t-a670-07741e2ee99a,,,2022-12-01,939c95c9-b2a1-4c0f-9bf5-f4519a124795,2022-12-06,2022-12-06,,,activate,,,M2M 500MB,2022-12-06,,SUBSCRIPTION_STATUS_PENDING,45c030f0-3b66-4e0c-313f-a30fct3a6913,SUBSCRIPTION_TYPE_M2M
33b3e01f-tbf3-4fa3-9ffe-tef3a9e9f43b,,,2022-12-01,55550t7c-6b2b-4t95-33a4-10aft401002b,2022-12-01,,2022-12-01,2022-12-01,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
151763ft-b2bf-4e64-3779-0333f173a062,,,2022-12-01,0b46e2a1-7a53-43a6-a50b-2c27t0a6c1e4,2022-12-01,,2022-12-01,2022-12-01,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
e0a7a64b-3920-4044-a2c0-9e751e359f95,,,2022-12-01,0b46e2a1-7a53-43a6-a50b-2c27t0a6c1e4,2022-12-06,2022-12-06,,,activate,,,CELL 1GB,2022-12-06,,SUBSCRIPTION_STATUS_PENDING,f1c53c6b-7a9t-417b-31c3-31t73ffcb1b3,SUBSCRIPTION_TYPE_CELL
f36ba953-43f5-40c5-3e24-6303ff0tc033,,,2022-12-01,513b0fe0-e3tt-437t-3fec-7090c5e7c436,2022-12-01,,2022-12-01,2022-12-01,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
1a019bac-be5a-4ca3-3953-364ca7f9f3c0,,,2022-12-01,36a13et7-36ct-4t3f-b07a-176t1t636061,2022-12-06,2022-12-06,,,activate,,,CELL 5GB,2022-12-06,,SUBSCRIPTION_STATUS_PENDING,405599e2-tf6b-4c37-b73c-0e1t2b429e66,SUBSCRIPTION_TYPE_CELL
